SL,EEG,BP,HR,CIRCULATION,ACTIVITY
3000.12,-1209.4,42,67,224,4
79489.9,-6789.49,121,320,3466,5
167888,-5381,85,356,5958,0
90547.2,-5120,45,254,3885,3
160502,-10300,90,388,6290,3
50781.2,-3170,34,234,2464,3
17336.1,-4222.25,35,183,931,1
28691.7,-3371.9,35,179,1626,4
27591,-3517,53,176,1310,0
15634,-4086,45,169,932,0
1557190,-18151,178,819,34369,0
79280,-4448,44,260,3296,0
55699.1,-4460,33,215,2188,3
93179,-7544,53,323,3632,0
32837,-4625,195,137,1624,0
4449.45,-2688.67,30,131,271,4
2254.9,-996106,22,54,165,2
308967,-11106,99,487,10388,0
30828.8,-3128.2,91,171,1747,5
16887.3,-4303.32,35,183,931,1
30515.1,-3452.94,129,171,1747,5
1510.35,-736745,23,51,102,4
15744.6,-2460.96,72,118,971,0
1909.66,-610946,8,43,161,5
109322,-6910,52,322,4619,4
546061,-17055,58,609,15345,0
30412,-4810,29,159,1518,0
78968,-5619,31,258,3624,0
116763,-5828,55,313,4728,0
5146.01,-1830,23,85,343,1
35546.7,-4347.69,122,208,1691,4
5285.35,-1260,8,79,292,2
468673,-14500,65,483,15505,2
4565.62,-2668.4,30,131,271,4
11107,-2902.05,36,156,654,4
28932,-3451.67,33,179,1626,5
95.7045,80.7,92,33,5,3
95844.9,-5761.78,46,294,4249,5
3150,-1831,13,64,246,0
3297.96,-1195.32,36,71,249,3
52648.4,-3740,41,234,2464,4
1920.41,-1085.24,7,63,166,2
6583,-3054,28,134,430,0
35308.3,-4340.29,123,208,1691,4
35476.7,-4296.77,119,208,1691,4
12935,-2704.05,15,132,806,4
8645.74,-2440,21,102,516,4
4285.92,-731,11,79,317,2
78989.2,-7356.71,64,320,3466,4
46402.4,-5926.42,64,273,2061,4
13786.2,-2965.35,13,148,729,3
20391,-4116,22,182,1209,0
256899,-10200,68,540,8870,3
150755,-11214,244,328,5959,0
20495,-4000,46,153,1210,0
15566,-3818,84,149,810,0
80859,-7864,74,299,3464,0
26211.7,-2979.97,95,156,1521,4
175608,-6053,86,296,7449,0
4604.75,-1670,24,88,292,4
50073.9,-4500,20,216,2677,3
4795.08,-2711.1,33,131,271,5
2225.74,-1448.77,29,82,185,4
54376.9,-4344.76,100,209,2534,5
4202.93,-1410.61,125,88,318,2
24152,-5247,67,200,1264,0
29521.5,-2766.74,82,156,1521,4
10371.4,-3350,15,109,689,3
11307,-1738,25,127,694,0
96277.6,-5690,60,254,3885,4
78424.2,-4970,58,272,3539,5
60648,-5207,36,217,2673,0
36075,-3985,28,218,1641,0
9011.31,-1866.45,74,107,517,5
7714,-2038,75,126,458,0
515535,-11551.2,150,540,18067,4
83480.6,-1930,61,223,2059,2
316179,-11335,102,467,10104,0
23917.4,-2818.99,20,154,1252,4
49491.2,-5440,22,216,2677,3
10842.8,-1887.45,19,102,764,4
50656.5,-5080,18,216,2677,3
49091.1,-5140,20,216,2677,3
28616,-1620,36,166,1414,3
90901.5,-5890,47,254,3885,3
14126.5,-2659.8,31,148,729,4
161929,-7367.33,67,352,6744,2
279303,-9737.08,67,468,9276,5
12262.6,-2799.7,89,136,619,4
23530,-4726,15,161,1312,0
1933.1,-1062.75,7,63,166,3
250216,-9530,94,537,8350,3
4374.59,-2310,12,86,205,2
16518.6,-2829.25,77,142,844,3
25223.7,-3165.86,28,157,1519,2
42763,-3013.96,97,159,2181,2
2284.09,-1407.75,14,82,185,5
219956,-13390,19,366,8086,0
142943,-5270,50,315,5844,4
1797.18,-1429.71,19,76,147,5
7042.8,-1643.86,46,93,545,2
5279.95,-2250,9,79,292,1
4056.08,-2200.97,65,101,249,4
236433,-11996,235,439,8735,0
78648,-5450,63,272,3539,3
11248.8,-1938.34,25,102,764,4
55531.5,-3900,62,224,2192,2
516898,-10989,130,540,18067,4
49305.6,-4310,26,216,2677,2
38458.3,-3914.55,44,180,2054,4
39658.5,-3929.78,26,193,2118,4
111404,-6990,44,322,4619,4
68489.8,-5152.41,149,247,3373,2
4243.34,-2160,10,79,317,2
7513.26,-1807.58,72,104,457,2
342133,-4790,99,462,11563,3
40932,-3835,43,182,2051,0
45237,-6606,53,217,1813,0
7859.11,-2140,147,109,486,5
20305.5,-3415.05,79,163,1162,5
280625,-9585.27,73,468,9276,5
6613.3,-2160,15,119,395,4
6973,-3852,58,98,426,0
39741,-3247,37,206,659,0
51154.5,-4250,40,234,2464,3
192094,-6900,74,403,6746,4
11848.7,-2422.11,9,117,519,0
32766,-5960,29,193,1637,0
11714.6,-2658.38,86,128,693,3
1371.04,-971.03,33,51,102,5
132816,-8170,38,296,5424,0
3149.92,-1244.23,51,67,224,4
4399.88,-1230,23,88,292,3
27018,-1820,26,166,1414,5
2210.73,-560062,5,43,161,5
32825.5,-3412.71,91,176,1922,4
51311.8,-2640,18,188,2599,4
111222,-7546,40,310,5318,0
16539,-4180,49,149,889,0
46419.8,-5917.87,55,273,2061,4
12840,-2703.72,15,132,806,4
4404,-1840,21,85,343,1
14012.4,-2389.42,88,120,809,3
26631.2,-2360,27,156,1364,3
61001.4,-5040,38,215,2188,4
7145.25,-1622.43,45,93,545,4
1701.63,-1365.01,21,76,147,5
36002.9,-4100,26,234,1581,2
24327,-1205,79,175,1360,0
40039.8,-3260,17,196,1885,4
7443.83,-1595.74,48,93,545,4
40387.6,-3110,22,196,1885,3
7706.91,-1816.5,74,104,457,2
59440.8,-6636.81,156,305,2610,2
8907,-3860,39,103,428,0
2174.12,-1109.01,20,54,165,1
8759,-2797,23,114,584,0
18926,-3351,22,156,1068,0
161000,-7532.74,66,352,6744,2
16824,-4256.86,34,183,931,1
515854,-11626,146,540,18067,4
20521,-3473.23,93,163,1162,4
3426.5,-766079,45,51,132,2
60194.2,-3500,44,223,2822,4
8051.45,-1940,157,109,486,5
32425,-5082,17,210,1525,0
53848.4,-3140,62,224,2192,3
13461.5,-2820.51,25,148,729,4
81987.5,-5340,41,272,3539,4
226347,-9737,79,397,8735,0
150748,-8748,73,398,6070,0
2179.37,-1116.72,20,54,165,2
37688.6,-3050,36,196,1997,3
74328.9,-5536.55,53,262,3211,4
29021,-3790,31,206,1418,0
1290.25,-670129,33,40,100,2
7625.5,-1873.76,76,104,457,2
61322,-4701,80,203,2671,0
4206.15,-1170,13,79,317,2
17210.4,-4296.71,35,183,931,1
114932,-1790,45,235,4905,3
18248,-5575,101,205,939,0
33557,-974,41,234,1581,2
160740,-8860,90,388,6290,3
13299.9,-1551.81,20,96,804,3
16752.6,-2921.83,79,142,844,4
10370,-3270,15,109,689,3
50895.5,-4090,33,234,2464,2
140389,-11200,97,449,5537,2
142108,-6186.14,168,308,6057,3
4171,-2890,15,100,269,0
333010,-11069,101,415,9262,0
28107.4,-3320,32,166,1414,4
26660.5,-2720,35,166,1414,4
50.1853,-522,92,33,5,3
197109,-8960,49,390,7459,4
50977,-4330,59,224,2192,2
56475,-4502,49,278,2752,0
56470.8,-4800,48,223,2822,4
17259.1,-3144.41,88,142,844,0
49893.9,-4410,18,216,2677,3
85167.9,-3070,18,220,3450,3
22259.2,-2690,37,182,1212,5
15253,-2289,57,129,977,0
17183.8,-4008.93,35,183,931,1
15173.6,-2715.68,69,134,970,3
192443,-4860,71,403,6746,3
38049.9,-3746.45,45,180,2054,4
11244,-3004.7,28,156,654,4
255421,-9490,232,353,9804,0
515822,-11464.3,137,540,18067,4
30701,-5083,44,178,1746,0
12069.8,-2754.49,83,130,694,5
4384.34,-1380,17,88,292,2
52731.2,-3860,53,224,2192,4
12827.2,-2743.67,15,132,806,4
330919,-8165,49,396,11114,0
30621.6,-3255.9,123,171,1747,5
7403.12,-1626.62,50,93,545,2
10088,-2440,40,154,587,3
38167.3,-3670.58,42,180,2054,5
275825,-10100,120,537,8350,3
17437.8,-3818.82,74,172,973,4
5093.88,-2250.39,49,107,346,3
110505,-6060,39,322,4619,3
33117.8,-4430,44,234,1581,2
99843.5,-5909.66,171,281,4061,4
65.0214,-309,96,33,5,2
36304,-3090,24,234,1581,2
4834.74,-1190,22,85,343,1
7598,-1470,9,88,582,0
24966.5,-3117.13,33,157,1519,2
25800.3,-2650,49,156,1364,5
182731,-10307,172,356,5539,0
10367,-3923,34,159,584,0
12585.4,-1664.56,39,105,765,5
29752,-4475,24,176,1021,0
37871.4,-3575.04,120,205,1751,2
52.5249,-625,6,33,5,1
51489.3,-3090,37,188,2599,4
31938,-5842,35,159,1691,0
2268.91,-1094.2,20,54,165,2
8567.68,-1640,21,102,516,5
256198,-12500,80,540,8870,4
3197,-3861,15,127,270,0
12857.4,-2806.85,15,132,806,4
3544.91,-769.92,47,51,132,2
20818.6,-1435.04,0,163,1162,2
101990,-6909,33,314,4521,0
104331,-7776,49,333,4529,0
7659.37,-1845.05,72,104,457,2
17185.7,-4270.5,36,183,931,1
17428.3,-3835.53,81,172,973,3
25660,-3086,26,168,1309,0
45154.6,-5885.62,57,273,2061,5
20802,-4778,32,175,1171,0
74810.2,-4010,26,249,3630,2
85695.5,-2720,19,220,3450,3
44653,-4063,104,208,2324,0
17733,-4715,12,148,850,0
10461,-2470,20,109,689,4
171198,-7800,118,449,5537,2
7012,-2129,18,113,483,0
10808,-2180,27,133,554,0
46846.2,-5802.85,66,273,2061,4
1105.71,-756547,31,51,102,4
25769.5,-3342.03,39,174,1415,4
79585.3,-6997.85,67,320,3466,5
66692,-5682,47,257,3132,0
12085.7,-1808.59,8,105,765,2
18030,-1884,51,138,1024,0
3552,-2274,44,75,271,0
35403,-4467,167,202,1523,0
9454.41,-3050.97,100,130,490,2
161133,-6563.89,77,352,6744,2
87581.3,-2500,16,220,3450,3
144801,-10782,80,397,5853,0
69867.2,-5398.66,134,247,3373,1
52338.7,-2500,23,188,2599,5
92442.1,-4600,74,254,3885,3
58753,-4579,40,246,2978,0
34465.4,-3595.43,70,176,1922,4
115660,-7995,156,333,3634,0
147409,-9970,65,449,5537,2
53595.3,-3980,66,224,2192,2
7258.66,-1584.2,48,93,545,4
71223.4,-6192.81,33,262,3211,5
7006,-1344,5,87,479,0
79589.1,-4070,49,272,3539,4
7577.67,-1884.85,67,104,457,3
38073,-3821.8,38,180,2054,5
27308,-2427,38,166,1522,0
49372,-3259,53,274,1813,0
69386,-4704,74,220,3530,0
158569,-7545,29,283,6727,0
11126.8,-1890.28,28,102,764,4
10245,-2231,36,121,619,0
50867.2,-4990,37,234,2464,2
8504.54,-1560,19,102,516,5
11002,-2326,48,104,764,0
32445.3,-3482.12,87,176,1922,4
25849.3,-3397.6,29,174,1415,4
91207.7,-5420,55,254,3885,3
69920,-6881,63,265,3053,0
49574.5,-5760,20,215,2188,3
16937.7,-3927.52,82,172,973,3
33967.9,-3514.1,95,176,1922,5
110065,-5100,37,322,4619,4
26544.1,-2440,13,166,1414,3
75433.9,-3890,47,264,3217,3
1479.75,-938461,41,52,133,2
18576,-3511,21,204,980,0
256866,-9971,257,407,8474,0
25210.3,-3227.74,27,157,1519,3
515466,-11671.2,144,540,18067,4
73467.7,-3370,26,249,3630,2
62344.1,-5810,34,247,2754,4
4171.09,-2217.93,71,101,249,4
51150.1,-3780,31,188,2599,2
45495,-4864,42,172,2455,0
212441,-14222,64,586,7472,0
7491.51,-1620.9,48,93,545,2
9630.49,-2881.84,20,138,554,3
26665.6,-866476,0,158,1403,4
32520,-6419,96,205,1637,0
85912.1,-3560,19,220,3450,3
251775,-12900,76,540,8870,3
5451.88,-2183.84,57,107,346,3
209828,-8922,82,366,8468,0
37869.5,-4189.67,105,205,1751,3
38417.4,-3776.92,33,193,2118,3
10297,-3090,15,109,689,3
96281.5,-5732.6,48,294,4249,3
1442.88,-971914,41,52,133,2
14971.5,-2726.71,70,131,971,0
75890,-6717,30,275,3625,0
59527.6,-4760,35,215,2188,3
4345.49,-795,16,88,292,1
56838.4,-4534.93,144,217,2904,3
120652,-9410.48,42,379,4825,0
80896.8,-5710,55,272,3539,3
11033.7,-3401.7,34,156,654,4
5129.12,-1460,22,85,343,1
84806.5,-2850,22,220,3450,3
49791,-6624,53,288,2258,0
4259.9,-1600,13,88,292,1
2172.43,-569854,6,43,161,5
11240,-1890.35,25,102,764,4
240663,-13288,126,555,8486,0
7126.37,-1689.93,53,93,545,4
103561,-7853,45,288,4344,0
30572.6,-3260.75,113,171,1747,5
18263,-4163,30,165,1018,0
38023.8,-3832.24,39,180,2054,5
4193.88,-1180,13,79,317,2
282030,-9480.85,72,468,9276,5
11450,-1897.42,23,102,764,4
4830.26,-1690,24,85,343,1
2965.58,-1195.34,45,67,224,4
37761.4,-3824.71,41,180,2054,5
90636.6,-1990,53,223,2059,3
63952,-6749,68,292,2756,0
9534.94,-2606.67,18,123,621,3
27627.7,-2992.37,102,158,1403,4
3141,-2237,24,89,223,0
48.8687,-447,8,33,5,2
75520.9,-6253.72,33,262,3211,0
12177.1,-2449.26,80,128,693,2
13343.6,-1495.93,16,96,804,3
82173,-7083,169,295,3551,0
96047.4,-8517.56,183,340,3633,0
16290,-3626,30,139,1017,0
113507,-4000,45,235,4905,2
205363,-10957,106,403,6983,0
17570.2,-4273.69,32,183,931,1
3938,-2767,5,90,271,0
53628,-4975,143,230,2196,0
256608,-9400,88,537,8350,5
18567,-5421,29,214,982,0
28562.1,-2858.64,86,156,1521,3
83593.5,-2170,25,220,3450,3
55000.3,-1510,47,188,2599,4
9047,-2613,26,146,523,0
90190.5,-7430,57,254,3885,4
58958.6,-4515.95,84,217,2904,5
115685,-5310,57,271,4426,2
51.6632,-274,96,33,5,3
145184,-5590,70,449,5537,3
11405.5,-3114.74,40,156,654,4
126441,-10153,59,348,5022,0
38912.9,-4270,30,196,1885,3
3612.18,-815.13,48,51,132,2
59692.9,-2370,52,223,2822,4
108935,-7495,29,338,4347,0
116197,-5020,61,271,4426,2
50984.2,-4320,33,234,2464,2
14036.6,-2422.49,91,120,809,3
50102.7,-2000,63,223,2059,3
1407.3,-933349,32,52,133,2
2115.05,-1047.73,22,54,165,2
56851.6,-3260,62,224,2192,3
474799,-13600,50,483,15505,3
12110,-2084,12,129,767,0
9595.48,-2918.91,98,130,490,2
46894.3,-5846.04,63,273,2061,4
59784.5,-2070,48,223,2822,5
38684.3,-3970.25,32,193,2118,4
167708,-7070,86,449,5537,2
93626,-6333,25,271,4158,0
13316.7,-1575.52,14,96,804,2
25740,-3165.06,25,174,1415,3
30800.8,-3287.19,129,171,1747,5
26452.4,-1440,24,166,1414,4
34775.7,-4263.32,122,208,1691,4
93081.1,-5000,74,254,3885,3
160807,-9030,90,388,6290,4
51.2572,-398,6,33,5,1
9847.93,-2862.33,27,138,554,3
59817,-5665,45,213,3051,0
14119.8,-2360.56,90,120,809,3
3492.81,-913578,49,51,132,2
47734,-5510,23,215,2188,3
75834.1,-5570.78,30,262,3211,4
62678.6,-1050,53,223,2822,4
9246,-2599,16,120,483,0
39267.8,-2200,16,196,1885,3
111363,-7625,217,358,4338,0
4117.38,-1567.81,126,88,318,2
490999,-12200,51,483,15505,4
11050.6,-3197.79,31,156,654,5
20182.6,-3025.14,67,145,1156,4
31248.9,-3096.41,89,171,1747,5
9520.88,-2524.07,18,123,621,3
4242.77,-1230,14,88,292,1
338806,-6320,83,462,11563,4
72618.5,-5462.1,47,262,3211,5
93490,-7554,184,337,3803,0
4314.68,-1090,10,79,317,2
24135,-2836.99,26,154,1252,5
3319.66,-769.11,46,51,132,2
107885,-5080,42,322,4619,5
24963,-5053,37,164,1410,0
399506,-15413,105,502,12822,0
245266,-11900,79,540,8870,3
33060.1,-3870,35,166,1414,5
11053.6,-1876.03,28,102,764,4
2952.22,-1108.43,39,67,224,4
7402.69,-1479.59,48,93,545,2
13659.7,-1578.51,16,96,804,3
29210.6,-3409.38,36,179,1626,5
11152,-3760,59,132,657,0
34661,-4331,102,171,1988,0
4906,-3084,35,79,367,0
113064,-2960,48,235,4905,3
6350,-2145,15,91,426,0
11998.3,-2544.67,80,128,693,3
112909,-5890,40,322,4619,4
4087.11,-1268.13,16,72,340,5
47695,-5340,28,210,2458,0
49297.3,-3610,20,216,2677,3
2034.51,-1032.14,5,63,166,3
26506.4,-2746.65,73,156,1521,4
10558.1,-2930.61,98,139,587,2
50689.4,-4870,22,188,2599,4
31297,-4024,49,242,1469,0
2071.9,-1062.74,5,63,166,3
131493,-5116,71,297,5734,0
83841,-7462,27,261,3454,0
55089.7,-5980,37,215,2188,3
38991.8,-1530,21,196,1885,4
1937.16,-1095.52,6,63,166,3
8732,-2142,4,120,518,0
9918.2,-1856.18,68,107,517,5
22510.4,-4790,38,182,1212,5
3911.54,-2382.58,72,101,249,4
38233.1,-3740.98,43,180,2054,5
1245.37,-926182,34,51,102,5
28588,-3448.07,36,179,1626,5
50726.4,-5250,36,234,2464,2
414636,-9910,70,473,14125,3
5504.7,-2050.75,47,107,276,0
31197.4,-3338.25,82,176,1922,4
12108.5,-1817.88,5,105,765,2
25300.3,-3149.22,33,157,1519,3
27700.5,-3216.14,22,174,1415,5
52867.5,-6097.03,52,288,2334,4
12084.2,-2501.24,86,128,693,1
27600.7,-3440,30,194,1521,4
159622,-9710,89,388,6290,4
25560.7,-3408.47,29,174,1415,4
3828.67,-2464.98,68,101,249,4
11777.9,-3011.55,42,156,654,4
3980.58,-1379.14,10,72,340,4
4945,-1372,34,77,340,0
67126.1,-2860,57,223,2822,4
278860,-9806.16,77,468,9276,5
16887,-4757,20,175,851,0
11234,-2208,22,135,587,0
27274.7,-2710,24,156,1364,3
16871,-2480,26,163,932,0
83560.8,-1840,24,220,3450,3
24783,-4399,79,251,1261,0
27345.8,-4095.06,68,214,1469,5
9270.96,-3156.26,16,138,554,3
83593.5,-1300,25,220,3450,3
1443.07,-955806,42,52,133,2
46781,-5876,38,216,2060,0
69952.8,-3060,76,224,2192,2
42931,-7379,15,191,1933,0
3200.62,-3600,12,86,205,5
25502.5,-3196.9,23,157,1519,3
12859.4,-2687.98,15,132,806,4
408626,-11500,66,412,10524,0
86473.6,-2810,12,220,3450,3
25858.6,-3387.28,24,174,1415,3
30505.9,-3190.8,79,171,1747,5
55318,-6165,35,226,2530,0
11842.4,-2570.01,80,128,693,1
273912,-10288,69,428,9134,0
1011380,-13422,185,727,26725,0
17569,-2918,8,115,1106,0
54802.5,-2910,71,224,2192,4
2156.16,-590.66,7,43,161,5
4337.89,-1420,18,88,292,2
52007.2,-3740,41,234,2464,3
4067.99,-2238.56,70,101,249,4
6377.07,-1781.47,21,95,427,5
52.7273,-265,96,33,5,2
409304,-8700,66,473,14125,2
263354,-8617,41,412,8732,0
14054.5,-2313.02,92,120,809,3
20468.6,-2560,5,119,973,3
52376.5,-2930,39,234,2464,3
1937.71,-1093.11,6,63,166,3
5307.66,-2174.49,65,107,346,3
432681,-58766,306,399,11270,0
14085.7,-2307.83,97,120,809,3
4164.46,-1328.75,15,72,340,4
66623,-4567,39,198,2460,0
4458.23,-814,15,88,292,2
317989,-9658,68,390,11557,0
7600.05,-1881.43,67,104,457,3
4226.84,-1310,10,79,317,2
60587.5,-3850,43,247,2754,4
4068.27,-1329.69,11,72,340,4
51955.6,-3470,36,234,2464,3
10936,-2176,21,132,586,0
52093.2,-3300,32,188,2599,5
9037.35,-1859.33,68,107,517,4
10403.1,-2793.51,82,139,587,2
59823.5,-5200,28,247,2754,3
4758.27,-797,23,85,343,2
38530.7,-3932.12,33,193,2118,4
5238.04,-1310,8,79,292,2
4654.11,-2699.01,24,131,271,4
51169,-4040,42,234,2464,3
48939.4,-5450,35,216,2677,3
13393.7,-1550.43,18,96,804,2
2169.38,-1041.16,20,54,165,2
7238.09,-1630.33,50,93,545,2
69363.1,-4410,66,224,2192,4
60332.9,-6030,35,223,2822,4
19296,-2650,261,153,979,0
278992,-11426,70,454,11127,0
38392,-7588,67,231,1695,0
23915.1,-464,13,166,1111,3
50.6827,-542,6,33,5,1
10073,-2982,257,109,587,0
17320.3,-4225.17,37,183,931,1
38961.1,-4117.8,27,193,2118,4
39049.6,-2000,22,196,1885,3
73150,-8416,68,278,3136,0
113266,-8194,81,388,4344,0
143955,-7059.5,188,308,6057,0
2310.02,-932441,46,51,132,2
26680.6,-2711.82,78,156,1521,4
30067,-5280,36,179,1469,0
35923,-4267,74,226,1526,0
429516,-10257,296,479,11578,0
4331.68,-906207,36,60,243,5
39288.3,-4060,24,196,1885,3
9560.01,-2797.38,20,138,554,4
34485.6,-4341.5,133,208,1691,4
8848.22,-1390,21,102,516,5
5090.73,-2001.35,70,107,346,3
4143.73,-1260,19,88,292,1
9002.38,-1660,28,102,516,5
20320.6,-3496.65,94,163,1162,4
18701,-4093,81,137,849,0
113069,-8374,191,322,4434,0
36909.9,-4070,45,196,1997,3
22145,-3401,53,176,1071,0
162791,-7493.42,85,352,6744,2
80616,-6104,42,299,3463,0
7032.41,-1646.09,48,93,545,3
35209.8,-4224.16,110,208,1691,5
37447.7,2980,33,234,1581,3
12342.3,-3021.73,93,136,619,3
5239.04,-2437.2,70,107,346,0
147469,-7260,89,449,5537,2
60202.7,-6476.76,148,305,2610,3
161451,-8745,59,353,6186,0
1071590,-23119,258,810,25364,0
51766.5,-3500,29,216,2677,3
5303.66,-2125.13,55,107,346,3
15517.5,-2772.46,77,134,970,3
13248.6,-1685.07,10,96,804,0
11574,-1850.09,32,105,765,3
11120.2,-1913.15,31,102,764,4
10515.8,-3070,11,109,689,3
4234.02,-1590,13,88,292,1
84297.5,-2310,69,223,2059,3
71519.8,-2900,77,224,2192,3
3536.6,-795166,50,51,132,4
7826,-2549,63,109,485,0
161257,-9460,87,388,6290,4
150347,-8133,197,368,5644,0
58966.4,-1250,46,223,2822,4
73339.7,-5080,25,249,3630,2
7435.98,-1947.05,75,104,457,3
5166.32,-2108,57,107,346,3
1415.74,-888982,25,51,102,4
11864,-2788,23,150,694,0
13663.5,-1459.32,16,96,804,2
434797,-9049,98,472,11282,0
3111.85,-1187.45,33,71,249,3
400734,-17442,207,546,12209,0
37694.7,-4375.17,33,193,2118,4
38612.9,-3776.82,22,193,2118,3
107642,-10052,244,357,4623,0
229556,-9004,102,366,7956,0
2726,-4101,19,96,204,0
2792.52,-1277.59,52,67,224,2
11095.4,-1940.75,23,102,764,4
12502.1,-2618.76,87,136,619,4
73445.8,-4610,30,249,3630,2
1446.19,-994009,42,52,133,2
78426,-8356,75,256,2902,0
5091.24,-2173.44,49,107,346,3
9761,-2979,21,147,585,0
95456.1,-5724.15,52,294,4249,3
50396.9,-4780,20,215,2188,3
410047,-8400,63,473,14125,2
28030.5,-2676.76,85,156,1521,4
24751.3,-2839.01,22,154,1252,4
2262,-853,14,90,132,0
95273.8,-5719.22,35,294,4249,4
4971.15,-881,26,85,343,1
12426,-2633.31,75,136,619,3
249306,-12900,100,537,8350,3
12397.5,-2890.89,86,136,619,3
9814.76,-2376.52,14,123,621,4
51959.9,-5704.83,63,288,2334,5
33304,-3864,121,198,1580,0
94925.4,-5653.3,41,294,4249,3
42.2242,-195,96,33,5,3
269238,-11300,80,540,8870,4
27959.9,-2470,26,194,1521,4
140817,-6051.72,159,308,6057,4
4363.7,-2835.55,27,131,271,5
27021.2,-3334.96,30,174,1415,3
27043.5,-4335.87,44,214,1469,3
54.2252,-184,6,33,5,2
128523,-7673,75,346,5420,0
76058,-5448.34,50,262,3211,4
13949.2,-2894.93,7,148,729,3
16653.9,-2732.41,81,142,844,3
8665.53,-1600,17,102,516,5
161094,-12800,83,388,6290,3
50.0289,-343,12,33,5,1
51665,-7282,56,302,2403,0
38163.9,-3830.97,37,180,2054,5
115674,-2820,37,235,4905,3
6067,-2743,4,76,318,0
28338,-6737,47,276,1169,0
204358,-10394,158,354,7823,0
14231.1,-2348.39,79,120,809,3
12141.4,-2507.95,93,128,693,1
161392,-7644.43,70,352,6744,2
152195,-8449,45,308,5960,0
4743,-3357,19,105,295,0
53505,-355,8,33,5,2
82231,-8008,78,342,3138,0
24648,-3056,34,166,1463,0
51208.5,-2480,35,234,2464,2
410461,-9630,63,473,14125,2
4911.39,-1480,22,85,343,1
10274,-2150,15,109,689,4
208652,-9187,92,430,6984,0
11145.7,-1910.7,23,102,764,4
4105.69,-2243.49,70,101,249,4
2177.13,-1127.91,20,54,165,2
49.3236,-453,8,33,5,1
36852.9,-3880,24,234,1581,2
2648,-1341,6,80,226,0
113827,-5920,54,271,4426,4
5223.24,-2220,8,79,292,2
9504.84,-2837.6,100,130,490,2
4245.38,-1260,15,88,292,1
2168.84,-1091.01,20,54,165,2
42392.9,-1750,56,234,1581,4
54044.5,-1850,36,188,2599,4
164289,-7684.35,80,352,6744,2
161776,-7097.75,72,352,6744,2
85325.9,-2490,22,220,3450,3
28499,-4789,78,174,1418,0
17623.1,-2780.87,76,142,844,4
4586.83,-2716.37,31,131,271,5
95151,-8205,35,280,3543,0
227843,-9590,107,537,8350,3
51906.7,-2190,27,188,2599,3
1491.62,-925458,37,52,133,2
37605.2,-4086.73,96,205,1751,4
25361.9,-774,15,166,1111,3
4070.7,-2350.37,72,101,249,4
11445.9,-3016.1,38,156,654,4
21297,-3546,74,154,1116,0
1953.43,-1022.43,11,63,166,3
38579,-1910,21,234,1581,2
26375.2,-3336.37,30,174,1415,4
49.0126,-589,92,33,5,3
2044.92,-566965,9,43,161,5
25884.1,-2420,45,156,1364,5
10150.1,-1690,34,154,587,3
4222.11,-1931.71,63,101,270,5
92539,-5339,149,300,3886,0
54932.6,-4620,54,247,2754,5
29197.2,-3405.47,36,179,1626,5
50920,-4530,40,234,2464,2
85725.6,-2320,21,220,3450,3
25748.4,-3440.97,29,174,1415,4
20678,-2684.51,64,152,1165,5
517435,-11483.5,113,540,18067,4
2973.84,-1167.64,49,67,224,4
4635.43,-2701.24,35,131,271,4
4132.52,-1489.71,116,88,318,2
9203.3,-3230.41,32,138,554,3
30161.3,-3339.17,121,171,1747,5
22983.7,-3785.88,31,176,1313,5
86720,-6151,67,201,3535,0
1806,-2489,46,85,151,0
4626.2,-2430,14,79,317,4
288174,-9994.03,92,468,9276,5
51150.5,-3640,28,188,2599,3
14196.9,-2395.55,88,120,809,3
11236.7,-3039.04,28,156,654,4
10440.1,-2580,13,109,689,3
85553.4,-3060,24,220,3450,3
48576.5,-4760,36,216,2677,3
16122,-2347,14,123,932,0
5254.65,-2180.69,57,107,346,3
2659.98,-321,45,53,133,4
208844,-7547,83,378,7823,0
24662.4,-2880.08,26,143,1017,0
87504.9,-7195.81,207,296,3464,0
18966,-3255,35,152,1108,0
410954,-7690,58,473,14125,4
1991.91,-1086.2,5,63,166,3
46962.7,-5880.67,63,273,2061,5
34330.5,-3513.28,83,176,1922,4
13147.6,-2719.06,25,132,806,5
25563.9,-1293.36,85,157,1519,3
39812.7,-3867.35,29,193,2118,4
93927,-8387,152,321,3224,0
9606.19,-2493.37,16,123,621,3
3148.7,-1209.97,36,71,249,4
71792,-4577,56,287,3215,0
73592.9,-4380,29,249,3630,1
33828.7,-3368.04,86,176,1922,5
2160.11,-1410.73,14,82,185,4
56594.2,-4170,49,215,2188,4
368507,-11947,348,492,12985,0
6727,-2902,6,99,316,0
27365,-4101,38,210,1527,0
8810,-2463,11,107,399,0
36304,-4744,40,212,2054,0
72506,-2516.7,77,262,3211,5
9947,-2673,23,132,618,0
5252.05,-2155.44,59,107,346,3
30386.2,-2071.68,29,132,1513,4
54769.9,-3770,46,215,2188,3
23785.7,-2835.27,21,154,1252,3
377744,-13820,100,483,12829,0
144319,-6320,73,315,5844,4
5311.48,-1610,17,79,292,2
147923,-6262,215,301,5733,0
50825,-4883,28,214,2062,0
10300,-1930,35,154,587,3
26921.2,-2220,21,166,1414,5
7339.07,-1646.41,43,93,545,4
3226.94,-1184.48,38,71,249,4
3081.26,-1113.77,38,71,249,2
34943,-3929,5,209,1694,0
80017.2,-5920,50,272,3539,3
